activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
ACE3023 Other Assessment Oral presentation (15 mins),ACE3023,Combinable Crops,Dr PE Bilsborrow,Other Assessment,Report,1,10,10,5,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Phase 1 report,NA,NA,NA,NA,NA,NA
ACE3024 Formative Assessment A compulsory formative assessment.  A report and,ACE3024,Farm Business Planning and Control,Dr JR Franks,Formative Assessment,Case Study,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Phase 2 report,NA,NA,NA,NA,NA,NA
ACE3024 Formative Assessment A compulsory formative spreadsheet budgeting assessment.,ACE3024,Farm Business Planning and Control,Dr JR Franks,Formative Assessment,Computer Assessment,2,10,10,0,2023-04-14,NA,2023-04-19,NA,2023-05-09,NA,NA,NA,NA,Management plan,NA,NA,NA,NA,NA,NA
ACE3024 Other Assessment A report and presentation of either an arable or livestock,ACE3024,Farm Business Planning and Control,Dr JR Franks,Other Assessment,Case Study,1,10,10,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Research proposal,NA,NA,NA,NA,NA,NA
ACE3024 Other Assessment Whole Farm Business Assessment. Feasibility study and,ACE3024,Farm Business Planning and Control,Dr JR Franks,Other Assessment,Report,2,10,10,75,2023-04-04,NA,2023-04-09,NA,2023-04-29,NA,NA,NA,NA,Portfolio,NA,NA,NA,NA,NA,NA
ACE3034 Other Assessment Group oral presentation,ACE3034,Applied Crop Protection,Dr PE Bilsborrow,Other Assessment,Report,1,10,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE3034 Other Assessment Written assessment,ACE3034,Applied Crop Protection,Dr PE Bilsborrow,Other Assessment,Written Exercise,1,10,0,90,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Supervisor's report,NA,NA,NA,NA,NA,NA
ACE3036 Other Assessment The accounts exercise gives students an opportunity to,ACE3036,Applied Farm Business Management,Mr SC Parker,Other Assessment,Case Study,1,10,10,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Individual report,NA,NA,NA,NA,NA,NA
"ACE3036 Other Assessment The tender for rental, an individual exercise, requires",ACE3036,Applied Farm Business Management,Mr SC Parker,Other Assessment,Case Study,2,10,10,60,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,Report,NA,NA,NA,NA,NA,NA
ACE3037 Other Assessment Weed portfolio (40 pages to include weed samples),ACE3037,Crop Pests Field Course,Dr PE Bilsborrow,Other Assessment,Portfolio,1,5,5,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Report 1 (Project Plan)?,NA,NA,NA,NA,NA,NA
ACE3037 Other Assessment Fungicide practical report (1000 words),ACE3037,Crop Pests Field Course,Dr PE Bilsborrow,Other Assessment,Practical/Lab Report,2,5,5,50,2023-08-13,NA,2023-08-18,NA,2023-09-07,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE3040 Exam 30 minute group presentation,ACE3040,Animal Product Quality and Marketing,Dr HER Davis,Exam,Oral Presentation,2,0,10,30,2023-05-31,NA,2023-05-31,NA,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3040 Other Assessment Answer two questions from five. Or technical notes (for,ACE3040,Animal Product Quality and Marketing,Dr HER Davis,Other Assessment,Written Exercise,2,0,10,70,2023-05-01,NA,2023-05-06,NA,2023-05-26,NA,NA,NA,NA,Computer Test,NA,NA,NA,NA,NA,NA
ACE3045 Other Assessment N/A,ACE3045,SNES Work Placement,Mr KA Christensen,Other Assessment,Portfolio,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3045 Other Assessment Presentation to academic staff and peers at start of,ACE3045,SNES Work Placement,Mr KA Christensen,Other Assessment,Prof Skill Assessmnt,1,10,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3045 Other Assessment N/A,ACE3045,SNES Work Placement,Mr KA Christensen,Other Assessment,Reflective Log,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3078 Other Assessment Report based on detailed statistical analysis of data (1500,ACE3078,Data & Marketing Analytics,Dr L Panzone,Other Assessment,Report,1,10,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3078 Other Assessment Report based on detailed statistical analysis of data (1500,ACE3078,Data & Marketing Analytics,Dr L Panzone,Other Assessment,Report,1,10,0,80,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3079 Other Assessment This is a 1000 words analysis of a food business strategy,ACE3079,Food Economics,Dr D Monjardino De Souza Monteiro,Other Assessment,Written Exercise,2,10,0,50,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3079 Other Assessment Group Coursework 1500 words,ACE3079,Food Economics,Dr D Monjardino De Souza Monteiro,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3080 Formative Assessment Scoping report for case study up to 1000 words.,ACE3080,Environmental Impact Assessment,Dr E Lopez-Capel,Formative Assessment,Report,2,10,10,0,2023-05-16,NA,2023-05-21,NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3080 Other Assessment Report on group project with a peer assessment,ACE3080,Environmental Impact Assessment,Dr E Lopez-Capel,Other Assessment,Case Study,2,10,10,50,2023-04-21,NA,2023-04-26,NA,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3080 Other Assessment Take home assessment,ACE3080,Environmental Impact Assessment,Dr E Lopez-Capel,Other Assessment,Computer Assessment,1,10,10,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3088 Other Assessment A recommendation report written to present to a farmer,",ACE3088,Forage Utilization,Mr SC Parker,Other Assessment,Report,2,0,10,60,2023-03-20,NA,2023-03-25,NA,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3088 Other Assessment Students will answer 2 short answer questions out of 5,ACE3088,Forage Utilization,Mr SC Parker,Other Assessment,Written Exercise,2,0,10,40,2023-04-03,NA,2023-04-08,NA,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3089 Other Assessment Large-format research poster for individual students on a,ACE3089,Animal Science Conference,Dr CE Douglas,Other Assessment,Poster,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3089 Other Assessment Oral presentation during the conference in groups; peer,",ACE3089,Animal Science Conference,Dr CE Douglas,Other Assessment,Prof Skill Assessmnt,1,20,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3089 Other Assessment Conference score - quality of the Conference (scientific,ACE3089,Animal Science Conference,Dr CE Douglas,Other Assessment,Prof Skill Assessmnt,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3093 Formative Assessment oral presentation of progress,ACE3093,Special Study,Professor GD Garrod,Formative Assessment,Oral Presentation,1,20,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3093 Other Assessment Draft dissertation (everything up to the results section);,ACE3093,Special Study,Professor GD Garrod,Other Assessment,Dissertation,1,20,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3093 Other Assessment Final dissertation; 10,000 words",ACE3093,Special Study,Professor GD Garrod,Other Assessment,Dissertation,2,20,10,70,2023-04-02,NA,2023-04-07,NA,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3097 Other Assessment Written dissertation - 8000 words,ACE3097,Animal Science Research Project,Dr JH Guy,Other Assessment,Dissertation,2,10,20,90,2023-05-15,NA,2023-05-20,NA,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3097 Other Assessment Oral presentation of rationale, results and implications of",ACE3097,Animal Science Research Project,Dr JH Guy,Other Assessment,Prof Skill Assessmnt,2,10,20,10,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3099 Other Assessment Dissertation (max 12,000 wds) on an agri-food",ACE3099,Agri-food Business Mgmt & Mrkt diss,Professor J Phillipson,Other Assessment,Dissertation,2,10,20,75,2023-03-12,NA,2023-03-17,NA,2023-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3099 Other Assessment Individual literature review (max 5,000 words) in",ACE3099,Agri-food Business Mgmt & Mrkt diss,Professor J Phillipson,Other Assessment,Essay,1,10,20,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3100 Other Assessment An essay in the form of a short article for Animal Science,ACE3100,Farm Animal Reproduction,Dr AP Beard,Other Assessment,Essay,2,0,10,60,2023-05-07,NA,2023-05-12,NA,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3100 Other Assessment Slide set (12 ppt slides) & notes on individually selected,ACE3100,Farm Animal Reproduction,Dr AP Beard,Other Assessment,Written Exercise,2,0,10,40,2023-05-26,NA,2023-05-31,NA,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3201 Formative Assessment Record a short vlog describing a sustainable public policy,ACE3201,Marketing and Public Policy,Dr D Monjardino De Souza Monteiro,Formative Assessment,Oral Presentation,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3201 Other Assessment Group report (4 members) analysing a social marketing,ACE3201,Marketing and Public Policy,Dr D Monjardino De Souza Monteiro,Other Assessment,Report,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3202 Other Assessment Individual report (1800 words),ACE3202,Communication and Behaviour Change,Dr SAB Kuznesof,Other Assessment,Report,2,0,10,100,2023-05-27,NA,2023-06-01,NA,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3204 Formative Assessment Individual Ration Formulation - conducted in a PC session,ACE3204,Applied Animal Nutrition,Dr AS Chaudhry,Formative Assessment,Prof Skill Assessmnt,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3204 Other Assessment Alternate assessment,ACE3204,Applied Animal Nutrition,Dr AS Chaudhry,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3207 Other Assessment Annotated bibliography (review of 10 references),ACE3207,SD and Environmental Valuation,Professor GD Garrod,Other Assessment,Report,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3207 Other Assessment Contingent valuation study design exercise,ACE3207,SD and Environmental Valuation,Professor GD Garrod,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3208 Other Assessment Group Presentation (with peer evaluation).,ACE3208,Zoo Animal Science and Management,Dr MC Leach,Other Assessment,Case Study,2,0,10,100,2023-03-21,NA,2023-03-26,NA,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3209 Exam Presentation of written report to client and or supervisor.,ACE3209,Food Innovation Consultancy,Dr O Collins,Exam,Oral Presentation,2,15,15,20,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3209 Other Assessment Individual Reflection 'Effective applied food market,ACE3209,Food Innovation Consultancy,Dr O Collins,Other Assessment,Essay,2,15,15,30,2023-03-26,NA,2023-03-31,NA,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3209 Other Assessment Team consultancy report - indicative word content max 3,000",ACE3209,Food Innovation Consultancy,Dr O Collins,Other Assessment,Report,2,15,15,50,2023-06-02,NA,2023-06-07,NA,2023-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3209 Pass/Fail Research proposal/consultation brief to client/supervisor.,ACE3209,Food Innovation Consultancy,Dr O Collins,Pass/Fail,Oral Presentation,#,15,15,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3210 Exam 10 minute presentation on your chosen case study,ACE3210,Your Future,Dr CE Douglas,Exam,Oral Presentation,2,0,10,100,2023-03-21,NA,2023-03-26,NA,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3210 Formative Assessment 10 min minute role play interview random questions from,ACE3210,Your Future,Dr CE Douglas,Formative Assessment,Oral Examination,1,0,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3210 Pass/Fail Mentoring of allocated student to rehearse presentation and,ACE3210,Your Future,Dr CE Douglas,Pass/Fail,Oral Presentation,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3210 Pass/Fail Updated CV,ACE3210,Your Future,Dr CE Douglas,Pass/Fail,Portfolio,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3210 Pass/Fail Reflective log,ACE3210,Your Future,Dr CE Douglas,Pass/Fail,Reflective Log,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3211 Other Assessment A welfare assessment report (1,500 words)",ACE3211,"Welfare, Behaviour and Precision technol",Dr CE Douglas,Other Assessment,Practical/Lab Report,1,10,10,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3211 Other Assessment Group task - Communicating science (1,500 words equivalent)",ACE3211,"Welfare, Behaviour and Precision technol",Dr CE Douglas,Other Assessment,Prof Skill Assessmnt,2,10,10,50,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3905 Other Assessment Maximum 10,000 words",ACE3905,Research Project,Dr A Prashar,Other Assessment,Dissertation,2,15,15,75,2023-05-16,NA,2023-05-21,NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3905 Other Assessment Poster summarising project topic, background and aims and",ACE3905,Research Project,Dr A Prashar,Other Assessment,Poster,1,15,15,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3905 Other Assessment Literature review and project progress report (draft, up to",ACE3905,Research Project,Dr A Prashar,Other Assessment,Report,1,15,15,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3905 Other Assessment Oral presentation and discussion. 10-15 minutes,ACE3905,Research Project,Dr A Prashar,Other Assessment,Research Proposal,1,15,15,5,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3907 Exam 15 minutes presentation with 5 minutes for,ACE3907,Environmental Science Dissertation,Dr S Peacock,Exam,Oral Presentation,1,10,20,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3907 Formative Assessment E-portfolio skills log,ACE3907,Environmental Science Dissertation,Dr S Peacock,Formative Assessment,Reflective Log,2,10,20,0,2023-04-23,NA,2023-04-28,NA,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3907 Other Assessment Dissertation, up to 8000 words",ACE3907,Environmental Science Dissertation,Dr S Peacock,Other Assessment,Dissertation,2,10,20,70,2023-03-27,NA,2023-04-01,NA,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3907 Other Assessment Target communication: Can be a poster, a podcast or a",ACE3907,Environmental Science Dissertation,Dr S Peacock,Other Assessment,Poster,2,10,20,20,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3908 Other Assessment Written dissertation - 8000 words,ACE3908,Agriculture Dissertation,Dr PE Bilsborrow,Other Assessment,Dissertation,2,15,15,85,2023-05-07,NA,2023-05-12,NA,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3908 Other Assessment Poster to summarise findings of the dissertation,ACE3908,Agriculture Dissertation,Dr PE Bilsborrow,Other Assessment,Poster,2,15,15,10,2023-05-30,NA,2023-06-04,NA,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3908 Other Assessment Oral presentation of rationale, results and implications of",ACE3908,Agriculture Dissertation,Dr PE Bilsborrow,Other Assessment,Prof Skill Assessmnt,1,15,15,5,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE3909 Exam Combination of Multiple choice, short answer and essay",ACE3909,Precision Crop Production,Dr DR George,Exam,Written Examination,2,10,10,50,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE3909 Other Assessment Alternative crop integration presentation,ACE3909,Precision Crop Production,Dr DR George,Other Assessment,Oral Examination,2,10,10,50,2023-04-22,NA,2023-04-27,NA,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8016 Other Assessment Vegetation monitoring report (no more than 6 pages),ACE8016,Habitat Monitoring and Assessment,Dr JM Simkin,Other Assessment,Report,2,0,20,25,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8016 Other Assessment Phase 1 and 2 survey report. Word limit 3500,ACE8016,Habitat Monitoring and Assessment,Dr JM Simkin,Other Assessment,Report,2,0,20,75,2023-04-22,NA,2023-04-27,NA,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8041 Other Assessment Management plan for a specific site,ACE8041,Ecosystem Management,Dr JM Simkin,Other Assessment,Report,2,0,10,100,2023-05-09,NA,2023-05-14,NA,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8099 Exam Due 2nd week after Easter vacation,ACE8099,MEnv Research Project,Dr S Peacock,Exam,Oral Presentation,2,30,30,5,2023-03-14,NA,2023-03-19,NA,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8099 Other Assessment Dissertation, usually no more than 9000 words but maybe",ACE8099,MEnv Research Project,Dr S Peacock,Other Assessment,Dissertation,2,30,30,65,2023-05-09,NA,2023-05-14,NA,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8099 Other Assessment Literature review and project progress report, including",ACE8099,MEnv Research Project,Dr S Peacock,Other Assessment,Report,2,30,30,20,2023-03-14,NA,2023-03-19,NA,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8099 Other Assessment Supervisor's report on project process at submission,ACE8099,MEnv Research Project,Dr S Peacock,Other Assessment,Report,2,30,30,10,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8116 Other Assessment Report on a woodland or forest, to include condition",ACE8116,Forest Ecology,Dr JM Simkin,Other Assessment,Report,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8116 Other Assessment Presentation on an aspect of forest ecology or food,ACE8116,Forest Ecology,Dr JM Simkin,Other Assessment,Oral Examination,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8210 Exam 10 minute presentation on your chosen case study,ACE8210,Your Future,Dr CE Douglas,Exam,Oral Presentation,2,0,10,100,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8210 Formative Assessment 10 min minute role play interview random questions from,ACE8210,Your Future,Dr CE Douglas,Formative Assessment,Oral Examination,1,0,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8210 Pass/Fail Mentoring of allocated student to rehearse presentation and,ACE8210,Your Future,Dr CE Douglas,Pass/Fail,Oral Presentation,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8210 Pass/Fail Updated CV,ACE8210,Your Future,Dr CE Douglas,Pass/Fail,Portfolio,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8210 Pass/Fail Reflective log,ACE8210,Your Future,Dr CE Douglas,Pass/Fail,Reflective Log,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8211 Other Assessment A welfare assessment report (1,500 words)",ACE8211,"Welfare, Behaviour and Precision technol",Dr CE Douglas,Other Assessment,Practical/Lab Report,1,10,10,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8211 Other Assessment Group task - Communicating science (1,500 words equivalent)",ACE8211,"Welfare, Behaviour and Precision technol",Dr CE Douglas,Other Assessment,Prof Skill Assessmnt,2,10,10,50,2023-04-02,NA,2023-04-07,NA,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE8909 Exam Combination of Multiple choice, short answer and essay",ACE8909,Precision Crop Production,Dr DR George,Exam,Written Examination,2,10,10,50,2023-04-21,NA,2023-04-26,NA,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE8909 Other Assessment Alternative crop integration presentation,ACE8909,Precision Crop Production,Dr DR George,Other Assessment,Oral Examination,2,10,10,50,2023-05-05,NA,2023-05-10,NA,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1020 Formative Assessment Genetics Workshop computer assessment,BIO1020,Genetics and Evolution,Dr T Taybi,Formative Assessment,Written Exercise,2,0,20,0,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1020 Formative Assessment (3 x Problem solving and written exercises),BIO1020,Genetics and Evolution,Dr T Taybi,Formative Assessment,Written Exercise,2,0,20,0,2023-05-12,NA,2023-05-17,NA,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO1020 Other Assessment 2 x Lab reports, 3000 words",BIO1020,Genetics and Evolution,Dr T Taybi,Other Assessment,Practical/Lab Report,2,0,20,30,2023-04-23,NA,2023-04-28,NA,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1020 Other Assessment Take home exam - exam will consist of two problem,BIO1020,Genetics and Evolution,Dr T Taybi,Other Assessment,Written Exercise,2,0,20,70,2023-05-16,NA,2023-05-21,NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Exam Alternate Assessment to be used if necessary if any further,BIO1021,Diversity of Life,Dr MDF Shirley,Exam,PC Examination,2,10,10,70,2023-03-28,NA,2023-04-02,NA,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Formative Assessment Blackboard self-test quiz,BIO1021,Diversity of Life,Dr MDF Shirley,Formative Assessment,Computer Assessment,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Formative Assessment Blackboard self-test quizzes,BIO1021,Diversity of Life,Dr MDF Shirley,Formative Assessment,Computer Assessment,2,10,10,0,2023-05-05,NA,2023-05-10,NA,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Formative Assessment Practice in analysing and reporting for Zoology,BIO1021,Diversity of Life,Dr MDF Shirley,Formative Assessment,Practical/Lab Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Formative Assessment Practice in analysing and reporting for Microbiology,BIO1021,Diversity of Life,Dr MDF Shirley,Formative Assessment,Practical/Lab Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Formative Assessment Practice in analysing and reporting for Plant Biology,BIO1021,Diversity of Life,Dr MDF Shirley,Formative Assessment,Practical/Lab Report,2,10,10,0,2023-03-26,NA,2023-03-31,NA,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Other Assessment Assessed practical Zoology lab report (max. 2000 words).,BIO1021,Diversity of Life,Dr MDF Shirley,Other Assessment,Practical/Lab Report,1,10,10,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Other Assessment Assessed practical Microbiology lab report (max. 2000,BIO1021,Diversity of Life,Dr MDF Shirley,Other Assessment,Practical/Lab Report,2,10,10,10,2023-04-23,NA,2023-04-28,NA,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1021 Other Assessment Assessed practical Plant Biology report (max. 2000 words),BIO1021,Diversity of Life,Dr MDF Shirley,Other Assessment,Practical/Lab Report,2,10,10,10,2023-03-16,NA,2023-03-26,NA,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1022 Other Assessment Online summative MCQ (30 mins),BIO1022,Ecology and Conservation,Professor MJ Whittingham,Other Assessment,Computer Assessment,1,20,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
